0,1
Datasets\Medicines\words\Cotrimoxazole_1_2743.png,Cotrimoxazole
Datasets\Medicines\words\Dicaltrol_1_3618.png,Dicaltrol
Datasets\Medicines\words\Ace_1_3471.png,Ace
Datasets\Medicines\words\Duloxen_1_146.png,Duloxen
Datasets\Medicines\words\Progut_1_1559.png,Progut
Datasets\Medicines\words\Cefaclor_1_2313.png,Cefaclor
Datasets\Medicines\words\Sergel_1_1204.png,Sergel
Datasets\Medicines\words\TranexamicAcid_1_2305.png,TranexamicAcid
Datasets\Medicines\words\Domilux_1_4029.png,Domilux
Datasets\Medicines\words\Maxpro_1_3445.png,Maxpro
Datasets\Medicines\words\CoralexDX_1_1426.png,CoralexDX
Datasets\Medicines\words\Boxol_1_974.png,Boxol
Datasets\Medicines\words\Migrium_1_1618.png,Migrium
Datasets\Medicines\words\MKast_1_136.png,MKast
Datasets\Medicines\words\Finix_1_4119.png,Finix
Datasets\Medicines\words\Dinovo_1_1578.png,Dinovo
Datasets\Medicines\words\DonA_1_680.png,DonA
Datasets\Medicines\words\FolicZ_1_1397.png,FolicZ
Datasets\Medicines\words\Deslor_1_332.png,Deslor
Datasets\Medicines\words\MefenamicAcid_1_2652.png,MefenamicAcid
Datasets\Medicines\words\Airflow_1_1790.png,Airflow
Datasets\Medicines\words\Glinta_1_4081.png,Glinta
Datasets\Medicines\words\Solas_1_3175.png,Solas
Datasets\Medicines\words\Disudrin_1_2871.png,Disudrin
Datasets\Medicines\words\Fosamin_1_1323.png,Fosamin
Datasets\Medicines\words\ProtinexUltra_1_1423.png,ProtinexUltra
Datasets\Medicines\words\O2Inhalation_1_3252.png,O2Inhalation
Datasets\Medicines\words\Paracetamol_1_2402.png,Paracetamol
Datasets\Medicines\words\Motelity_1_3779.png,Motelity
Datasets\Medicines\words\Ibuprofen_1_1931.png,Ibuprofen
Datasets\Medicines\words\Azithromycin_1_1971.png,Azithromycin
Datasets\Medicines\words\Avaspray_1_3243.png,Avaspray
Datasets\Medicines\words\Kedar_1_2927.png,Kedar
Datasets\Medicines\words\Sultamicillin_1_2689.png,Sultamicillin
Datasets\Medicines\words\Cefuroxime_1_2775.png,Cefuroxime
Datasets\Medicines\words\Paracetamol_1_2146.png,Paracetamol
Datasets\Medicines\words\Doxiva_1_1499.png,Doxiva
Datasets\Medicines\words\Ambroxol_1_1982.png,Ambroxol
Datasets\Medicines\words\FixcefPlus_1_228.png,FixcefPlus
Datasets\Medicines\words\Amoxicillin_1_3001.png,Amoxicillin
Datasets\Medicines\words\KCL_1_40.png,KCL
Datasets\Medicines\words\Algin_1_3759.png,Algin
Datasets\Medicines\words\Clarithromycin_1_2913.png,Clarithromycin
Datasets\Medicines\words\Potacit_1_1424.png,Potacit
Datasets\Medicines\words\Edysta_1_67.png,Edysta
Datasets\Medicines\words\NaproA_1_862.png,NaproA
Datasets\Medicines\words\Amoxicillin_1_1895.png,Amoxicillin
Datasets\Medicines\words\NeuroB_1_997.png,NeuroB
Datasets\Medicines\words\CoralcalDX_1_3665.png,CoralcalDX
Datasets\Medicines\words\Xalcort_1_3320.png,Xalcort
Datasets\Medicines\words\Paracetamol_1_2010.png,Paracetamol
Datasets\Medicines\words\Ipec-Plus_1_3994.png,Ipec-Plus
Datasets\Medicines\words\TranexamicAcid_1_2393.png,TranexamicAcid
Datasets\Medicines\words\Fexofast_1_1389.png,Fexofast
Datasets\Medicines\words\Monas_1_3611.png,Monas
Datasets\Medicines\words\MaxproMups_1_3754.png,MaxproMups
Datasets\Medicines\words\B126_1_1668.png,B126
Datasets\Medicines\words\Itraconazole_1_2289.png,Itraconazole
Datasets\Medicines\words\ATV_1_3291.png,ATV
Datasets\Medicines\words\Paracetamol_1_2325.png,Paracetamol
Datasets\Medicines\words\Monas_1_1803.png,Monas
Datasets\Medicines\words\Ace_1_1553.png,Ace
Datasets\Medicines\words\Onium_1_82.png,Onium
Datasets\Medicines\words\Optimox_1_3246.png,Optimox
Datasets\Medicines\words\Liptor_1_1751.png,Liptor
Datasets\Medicines\words\Reset_1_769.png,Reset
Datasets\Medicines\words\MetacardMR_1_3312.png,MetacardMR
Datasets\Medicines\words\Paloxi_1_17.png,Paloxi
Datasets\Medicines\words\Cefalexin_1_2268.png,Cefalexin
Datasets\Medicines\words\FolicZ_1_3504.png,FolicZ
Datasets\Medicines\words\Rupa_1_46.png,Rupa
Datasets\Medicines\words\Thyrin_1_1537.png,Thyrin
Datasets\Medicines\words\Bizoran_1_589.png,Bizoran
Datasets\Medicines\words\Lino-M_1_3543.png,Lino-M
Datasets\Medicines\words\Cetirizine_1_2363.png,Cetirizine
Datasets\Medicines\words\CoAmoxiclav_1_2891.png,CoAmoxiclav
Datasets\Medicines\words\OralRehydrationSalt_1_3060.png,OralRehydrationSalt
Datasets\Medicines\words\Lyroxen_1_3725.png,Lyroxen
Datasets\Medicines\words\Paloxi_1_1220.png,Paloxi
Datasets\Medicines\words\Doxiva_1_340.png,Doxiva
Datasets\Medicines\words\Fendex_1_3794.png,Fendex
Datasets\Medicines\words\CinaronPlus_1_411.png,CinaronPlus
Datasets\Medicines\words\Ebatin_1_449.png,Ebatin
Datasets\Medicines\words\Solmux_1_2324.png,Solmux
Datasets\Medicines\words\CoralcinD_1_3633.png,CoralcinD
Datasets\Medicines\words\Salbutamol_1_2805.png,Salbutamol
Datasets\Medicines\words\Cefalexin_1_2061.png,Cefalexin
Datasets\Medicines\words\MentholSteamInhalation_1_3891.png,MentholSteamInhalation
Datasets\Medicines\words\AzmasolHFA_1_3871.png,AzmasolHFA
Datasets\Medicines\words\MefenamicAcid_1_1873.png,MefenamicAcid
Datasets\Medicines\words\Esonix_1_604.png,Esonix
Datasets\Medicines\words\Ceftizone_1_1421.png,Ceftizone
Datasets\Medicines\words\Defrol_1_1100.png,Defrol
Datasets\Medicines\words\Visral_1_1644.png,Visral
Datasets\Medicines\words\Rablet_1_202.png,Rablet
Datasets\Medicines\words\Naproxen_1_3971.png,Naproxen
Datasets\Medicines\words\Azalid_1_654.png,Azalid
Datasets\Medicines\words\TranexamicAcid_1_2601.png,TranexamicAcid
Datasets\Medicines\words\Doxocontin_1_3963.png,Doxocontin
Datasets\Medicines\words\Amoxicillin_1_2937.png,Amoxicillin
Datasets\Medicines\words\Amoxicillin_1_2896.png,Amoxicillin
Datasets\Medicines\words\Ticas_1_624.png,Ticas
Datasets\Medicines\words\TranexamicAcid_1_2340.png,TranexamicAcid
Datasets\Medicines\words\Iventi_1_3927.png,Iventi
Datasets\Medicines\words\O2Inhalation_1_1003.png,O2Inhalation
Datasets\Medicines\words\Esocon_1_3842.png,Esocon
Datasets\Medicines\words\Potacit_1_910.png,Potacit
Datasets\Medicines\words\Amoxicillin_1_1985.png,Amoxicillin
Datasets\Medicines\words\Vave_1_1401.png,Vave
Datasets\Medicines\words\Moxilocin_1_3683.png,Moxilocin
Datasets\Medicines\words\Deflux_1_1276.png,Deflux
Datasets\Medicines\words\Fexofast_1_992.png,Fexofast
Datasets\Medicines\words\Algin_1_3765.png,Algin
Datasets\Medicines\words\Tory_1_3270.png,Tory
Datasets\Medicines\words\Paracetamol_1_3059.png,Paracetamol
Datasets\Medicines\words\Clarithromycin_1_1954.png,Clarithromycin
Datasets\Medicines\words\Trego_1_3960.png,Trego
Datasets\Medicines\words\Noclog_1_3479.png,Noclog
Datasets\Medicines\words\MefenamicAcid_1_2466.png,MefenamicAcid
Datasets\Medicines\words\AcePlus_1_3216.png,AcePlus
Datasets\Medicines\words\TranexamicAcid_1_2648.png,TranexamicAcid
Datasets\Medicines\words\NintoinSR_1_541.png,NintoinSR
Datasets\Medicines\words\Paracetamol-Tramadol_1_2102.png,Paracetamol-Tramadol
Datasets\Medicines\words\Amoxicillin_1_3026.png,Amoxicillin
Datasets\Medicines\words\Promtil_1_3272.png,Promtil
Datasets\Medicines\words\Lulizol_1_977.png,Lulizol
Datasets\Medicines\words\FungidalHC_1_1241.png,FungidalHC
Datasets\Medicines\words\MefenamicAcid_1_2647.png,MefenamicAcid
Datasets\Medicines\words\Zinc_1_1894.png,Zinc
Datasets\Medicines\words\Omrazol_1_5.png,Omrazol
Datasets\Medicines\words\Seasonix_1_3953.png,Seasonix
Datasets\Medicines\words\Triocim_1_223.png,Triocim
Datasets\Medicines\words\CoAmoxiclav_1_2719.png,CoAmoxiclav
Datasets\Medicines\words\Clarithromycin_1_2371.png,Clarithromycin
Datasets\Medicines\words\Ciprofloxacin_1_2407.png,Ciprofloxacin
Datasets\Medicines\words\DNS_1_4009.png,DNS
Datasets\Medicines\words\Ofloxacin_1_2037.png,Ofloxacin
Datasets\Medicines\words\Solas_1_930.png,Solas
Datasets\Medicines\words\Salbutamol_1_3101.png,Salbutamol
Datasets\Medicines\words\Gliclazide_1_1814.png,Gliclazide
Datasets\Medicines\words\Ciprofloxacin_1_2748.png,Ciprofloxacin
Datasets\Medicines\words\Maxpro_1_3459.png,Maxpro
Datasets\Medicines\words\Aristovit_1_1627.png,Aristovit
Datasets\Medicines\words\Dinafex_1_69.png,Dinafex
Datasets\Medicines\words\Tonamax_1_3189.png,Tonamax
Datasets\Medicines\words\Rofixim_1_3514.png,Rofixim
Datasets\Medicines\words\Ambroxol_1_2544.png,Ambroxol
Datasets\Medicines\words\MefenamicAcid_1_2518.png,MefenamicAcid
Datasets\Medicines\words\Benzapen_1_3170.png,Benzapen
Datasets\Medicines\words\Lijenta_1_514.png,Lijenta
Datasets\Medicines\words\Clarithromycin_1_2208.png,Clarithromycin
Datasets\Medicines\words\Paracetamol_1_2210.png,Paracetamol
Datasets\Medicines\words\AscorbicAcid_1_2815.png,AscorbicAcid
Datasets\Medicines\words\MefenamicAcid_1_2526.png,MefenamicAcid
Datasets\Medicines\words\Actrapid_1_4013.png,Actrapid
Datasets\Medicines\words\Torax_1_955.png,Torax
Datasets\Medicines\words\Becobion_1_1577.png,Becobion
Datasets\Medicines\words\Guiafenesin-Salbutamol_1_2789.png,Guiafenesin-Salbutamol
Datasets\Medicines\words\Noclog_1_4083.png,Noclog
Datasets\Medicines\words\P-C_1_3552.png,P-C
Datasets\Medicines\words\Omitin_1_3691.png,Omitin
Datasets\Medicines\words\Finix_1_771.png,Finix
Datasets\Medicines\words\Disudrin_1_2606.png,Disudrin
Datasets\Medicines\words\Amoxicillin_1_2707.png,Amoxicillin
Datasets\Medicines\words\Dinovo_1_3556.png,Dinovo
Datasets\Medicines\words\Maxima_1_1502.png,Maxima
Datasets\Medicines\words\Sergel_1_1055.png,Sergel
Datasets\Medicines\words\Carbocisteine_1_2825.png,Carbocisteine
Datasets\Medicines\words\D-Vine_1_666.png,D-Vine
Datasets\Medicines\words\Domilux_1_3452.png,Domilux
Datasets\Medicines\words\Carbocisteine_1_2814.png,Carbocisteine
Datasets\Medicines\words\FolicZ_1_4021.png,FolicZ
Datasets\Medicines\words\Furocef_1_1506.png,Furocef
Datasets\Medicines\words\Tory_1_641.png,Tory
Datasets\Medicines\words\TranexamicAcid_1_1871.png,TranexamicAcid
Datasets\Medicines\words\Losucon1_1_327.png,Losucon1
Datasets\Medicines\words\D-Rise_1_1333.png,D-Rise
Datasets\Medicines\words\DNS_1_1206.png,DNS
Datasets\Medicines\words\RenovaXR_1_4077.png,RenovaXR
Datasets\Medicines\words\Paracetamol_1_3040.png,Paracetamol
Datasets\Medicines\words\Metryl_1_3245.png,Metryl
Datasets\Medicines\words\Azithromycin_1_2501.png,Azithromycin
Datasets\Medicines\words\Ambroxol_1_2861.png,Ambroxol
Datasets\Medicines\words\Tivis_1_1601.png,Tivis
Datasets\Medicines\words\IpecPlus_1_706.png,IpecPlus
Datasets\Medicines\words\MaxproMups_1_1455.png,MaxproMups
Datasets\Medicines\words\Chloramphenicol_1_2844.png,Chloramphenicol
Datasets\Medicines\words\Paracetamol_1_2729.png,Paracetamol
Datasets\Medicines\words\Carbocisteine_1_2621.png,Carbocisteine
Datasets\Medicines\words\Torax_1_3635.png,Torax
Datasets\Medicines\words\Duvent_1_3682.png,Duvent
Datasets\Medicines\words\Sulprex_1_494.png,Sulprex
Datasets\Medicines\words\Cefixime_1_2215.png,Cefixime
Datasets\Medicines\words\Phenylpropanolamine_1_3096.png,Phenylpropanolamine
Datasets\Medicines\words\MefenamicAcid_1_2429.png,MefenamicAcid
Datasets\Medicines\words\Filfresh_1_1635.png,Filfresh
Datasets\Medicines\words\Ceftizone_1_1054.png,Ceftizone
Datasets\Medicines\words\Aceclofenac_1_2852.png,Aceclofenac
Datasets\Medicines\words\Sonexa_1_3567.png,Sonexa
Datasets\Medicines\words\AscorbicAcid-ZincSulfate_1_2967.png,AscorbicAcid-ZincSulfate
Datasets\Medicines\words\Viscotin_1_577.png,Viscotin
Datasets\Medicines\words\Normens_1_4052.png,Normens
Datasets\Medicines\words\Lipicon_1_1762.png,Lipicon
Datasets\Medicines\words\Procaterol_1_2905.png,Procaterol
Datasets\Medicines\words\Cefalexin_1_2330.png,Cefalexin
Datasets\Medicines\words\Clognil_1_1496.png,Clognil
Datasets\Medicines\words\Monas_1_378.png,Monas
Datasets\Medicines\words\Zibac_1_1015.png,Zibac
Datasets\Medicines\words\Renova_1_508.png,Renova
Datasets\Medicines\words\Miovit_1_1448.png,Miovit
Datasets\Medicines\words\Thyrox_1_1113.png,Thyrox
Datasets\Medicines\words\Omep_1_1412.png,Omep
Datasets\Medicines\words\Remophos_1_3619.png,Remophos
Datasets\Medicines\words\Erythromycin_1_2828.png,Erythromycin
Datasets\Medicines\words\CoAmoxiclav_1_2634.png,CoAmoxiclav
Datasets\Medicines\words\Anadol_1_240.png,Anadol
Datasets\Medicines\words\Sultamicillin_1_2970.png,Sultamicillin
Datasets\Medicines\words\Ezylife_1_576.png,Ezylife
Datasets\Medicines\words\OstelinD_1_1449.png,OstelinD
Datasets\Medicines\words\Ciprofloxacin_1_2422.png,Ciprofloxacin
Datasets\Medicines\words\TranexamicAcid_1_1874.png,TranexamicAcid
Datasets\Medicines\words\FolicZ_1_1642.png,FolicZ
Datasets\Medicines\words\Paracetamol_1_2985.png,Paracetamol
Datasets\Medicines\words\Salbutamol_1_2386.png,Salbutamol
Datasets\Medicines\words\Montair_1_3654.png,Montair
Datasets\Medicines\words\Relatro_1_628.png,Relatro
Datasets\Medicines\words\remmo_1_3108.png,remmo
Datasets\Medicines\words\AlgecalDX_1_809.png,AlgecalDX
Datasets\Medicines\words\Glinta_1_4015.png,Glinta
Datasets\Medicines\words\Levostar_1_3951.png,Levostar
Datasets\Medicines\words\Ciprofloxacin_1_2567.png,Ciprofloxacin
Datasets\Medicines\words\CoAmoxiclav_1_2802.png,CoAmoxiclav
Datasets\Medicines\words\remmo_1_1390.png,remmo
Datasets\Medicines\words\Menoral_1_797.png,Menoral
Datasets\Medicines\words\OfuranSR_1_834.png,OfuranSR
Datasets\Medicines\words\Maxima_1_505.png,Maxima
Datasets\Medicines\words\CoAmoxiclav_1_2553.png,CoAmoxiclav
Datasets\Medicines\words\VitaminsC-Zinc_1_2812.png,VitaminsC-Zinc
Datasets\Medicines\words\Carbocisteine_1_3065.png,Carbocisteine
Datasets\Medicines\words\Conpan_1_3204.png,Conpan
Datasets\Medicines\words\Amoxicillin_1_2919.png,Amoxicillin
Datasets\Medicines\words\Dimerol_1_1270.png,Dimerol
Datasets\Medicines\words\EconatePlus_1_3749.png,EconatePlus
Datasets\Medicines\words\Algin_1_3297.png,Algin
Datasets\Medicines\words\Disudrin_1_1898.png,Disudrin
Datasets\Medicines\words\Demoxiclave_1_3604.png,Demoxiclave
Datasets\Medicines\words\Paracetamol-Tramadol_1_2457.png,Paracetamol-Tramadol
Datasets\Medicines\words\TranexamicAcid_1_2787.png,TranexamicAcid
Datasets\Medicines\words\Gaba-PCR_1_1693.png,Gaba-PCR
Datasets\Medicines\words\Ibuprofen_1_2370.png,Ibuprofen
Datasets\Medicines\words\Arsenor_1_461.png,Arsenor
Datasets\Medicines\words\CalchekPlus_1_164.png,CalchekPlus
Datasets\Medicines\words\Norium_1_81.png,Norium
Datasets\Medicines\words\CoAmoxiclav_1_2165.png,CoAmoxiclav
Datasets\Medicines\words\VitaminC_1_2508.png,VitaminC
Datasets\Medicines\words\Acetylcysteine_1_2540.png,Acetylcysteine
Datasets\Medicines\words\Paracetamol_1_2635.png,Paracetamol
Datasets\Medicines\words\Honycol_1_1442.png,Honycol
Datasets\Medicines\words\Cotson_1_1032.png,Cotson
Datasets\Medicines\words\MaxproMups_1_1634.png,MaxproMups
Datasets\Medicines\words\Ezylife_1_457.png,Ezylife
Datasets\Medicines\words\Camlodin_1_1718.png,Camlodin
Datasets\Medicines\words\Magnesium_1_2117.png,Magnesium
Datasets\Medicines\words\Cefuroxime_1_2770.png,Cefuroxime
Datasets\Medicines\words\Aceclofenac_1_2311.png,Aceclofenac
Datasets\Medicines\words\Camlodin_1_3851.png,Camlodin
Datasets\Medicines\words\Cevit_1_3562.png,Cevit
Datasets\Medicines\words\Acetylcysteine_1_2281.png,Acetylcysteine
Datasets\Medicines\words\Erdosteine_1_1952.png,Erdosteine
Datasets\Medicines\words\MefenamicAcid_1_2068.png,MefenamicAcid
Datasets\Medicines\words\BexitrolF_1_3898.png,BexitrolF
Datasets\Medicines\words\Paracetamol_1_2945.png,Paracetamol
Datasets\Medicines\words\Nexcital_1_3424.png,Nexcital
Datasets\Medicines\words\Azithromycin_1_2933.png,Azithromycin
Datasets\Medicines\words\Electrolyte_1_1861.png,Electrolyte
Datasets\Medicines\words\Azomac_1_3535.png,Azomac
Datasets\Medicines\words\Angenta_1_1726.png,Angenta
Datasets\Medicines\words\Lindac_1_1730.png,Lindac
Datasets\Medicines\words\Ropitor_1_736.png,Ropitor
Datasets\Medicines\words\TicametInhaler_1_1476.png,TicametInhaler
Datasets\Medicines\words\Azithromycin_1_2212.png,Azithromycin
Datasets\Medicines\words\Comet_1_1170.png,Comet
Datasets\Medicines\words\Paracetamol_1_2899.png,Paracetamol
Datasets\Medicines\words\Doxorin_1_1142.png,Doxorin
Datasets\Medicines\words\CoAmoxiclav_1_2440.png,CoAmoxiclav
Datasets\Medicines\words\Viset_1_419.png,Viset
Datasets\Medicines\words\Defcort_1_404.png,Defcort
Datasets\Medicines\words\TranexamicAcid_1_1897.png,TranexamicAcid
Datasets\Medicines\words\Probiotic_1_2207.png,Probiotic
Datasets\Medicines\words\Acetylcysteine_1_2674.png,Acetylcysteine
Datasets\Medicines\words\Carbocisteine_1_2870.png,Carbocisteine
Datasets\Medicines\words\Cavic-CPlus_1_429.png,Cavic-CPlus
Datasets\Medicines\words\Ibuprofen_1_2617.png,Ibuprofen
Datasets\Medicines\words\Amira_1_1134.png,Amira
Datasets\Medicines\words\Cefalexin_1_2880.png,Cefalexin
Datasets\Medicines\words\Turboclav_1_3674.png,Turboclav
Datasets\Medicines\words\Nugesic_1_1030.png,Nugesic
Datasets\Medicines\words\Protide_1_1728.png,Protide
Datasets\Medicines\words\Reversair_1_3148.png,Reversair
Datasets\Medicines\words\DA_1_1207.png,DA
Datasets\Medicines\words\Flontin_1_3156.png,Flontin
Datasets\Medicines\words\Reservix_1_159.png,Reservix
Datasets\Medicines\words\Plagrin_1_490.png,Plagrin
Datasets\Medicines\words\Reset_1_0.png,Reset
Datasets\Medicines\words\Cefalexin_1_3069.png,Cefalexin
Datasets\Medicines\words\Clamox_1_730.png,Clamox
Datasets\Medicines\words\Reversair_1_231.png,Reversair
Datasets\Medicines\words\MefenamicAcid_1_2199.png,MefenamicAcid
Datasets\Medicines\words\Prebalin_1_1576.png,Prebalin
Datasets\Medicines\words\Alex_1_3124.png,Alex
Datasets\Medicines\words\MarinCal-DX_1_1504.png,MarinCal-DX
Datasets\Medicines\words\Clopid_1_3199.png,Clopid
Datasets\Medicines\words\Hartsol_1_3906.png,Hartsol
Datasets\Medicines\words\Flexibac_1_3402.png,Flexibac
Datasets\Medicines\words\Esotid_1_3688.png,Esotid
Datasets\Medicines\words\Erythromycin_1_2858.png,Erythromycin
Datasets\Medicines\words\Maxpro_1_3958.png,Maxpro
Datasets\Medicines\words\Dirozyl_1_640.png,Dirozyl
Datasets\Medicines\words\Voltalin_1_1786.png,Voltalin
Datasets\Medicines\words\Fexo_1_133.png,Fexo
Datasets\Medicines\words\Denixil_1_3222.png,Denixil
Datasets\Medicines\words\EsonixM_1_3440.png,EsonixM
Datasets\Medicines\words\CoralcalD_1_249.png,CoralcalD
Datasets\Medicines\words\Sergel_1_3805.png,Sergel
Datasets\Medicines\words\Neuralgin_1_3127.png,Neuralgin
Datasets\Medicines\words\Meloxicam_1_2873.png,Meloxicam
Datasets\Medicines\words\CoAmoxiclav_1_1961.png,CoAmoxiclav
Datasets\Medicines\words\Amoxicillin_1_2323.png,Amoxicillin
Datasets\Medicines\words\CoAmoxiclav_1_1969.png,CoAmoxiclav
Datasets\Medicines\words\SinafreshLiquigel_1_3762.png,SinafreshLiquigel
Datasets\Medicines\words\Cefalexin_1_3030.png,Cefalexin
Datasets\Medicines\words\MefenamicAcid_1_2990.png,MefenamicAcid
Datasets\Medicines\words\Starcef_1_75.png,Starcef
Datasets\Medicines\words\Anset_1_347.png,Anset
Datasets\Medicines\words\Exium_1_630.png,Exium
Datasets\Medicines\words\Paracetamol_1_2881.png,Paracetamol
Datasets\Medicines\words\Sergel_1_3972.png,Sergel
Datasets\Medicines\words\Etorix_1_1661.png,Etorix
Datasets\Medicines\words\HemofixFZ_1_70.png,HemofixFZ
Datasets\Medicines\words\HemofixFZ_1_1602.png,HemofixFZ
Datasets\Medicines\words\Iventi_1_3265.png,Iventi
Datasets\Medicines\words\Maxpro_1_1047.png,Maxpro
Datasets\Medicines\words\Oradol_1_1075.png,Oradol
Datasets\Medicines\words\Napa_1_1366.png,Napa
Datasets\Medicines\words\Cloxacillin_1_2158.png,Cloxacillin
Datasets\Medicines\words\Boxol_1_1738.png,Boxol
Datasets\Medicines\words\Carbocisteine_1_2510.png,Carbocisteine
Datasets\Medicines\words\Eprin_1_400.png,Eprin
Datasets\Medicines\words\HPR-DS_1_3491.png,HPR-DS
Datasets\Medicines\words\Aciphin_1_3840.png,Aciphin
Datasets\Medicines\words\Paricel_1_1566.png,Paricel
Datasets\Medicines\words\Amoxicillin_1_2169.png,Amoxicillin
Datasets\Medicines\words\Clarithromycin_1_2156.png,Clarithromycin
Datasets\Medicines\words\Sultamicillin_1_2027.png,Sultamicillin
Datasets\Medicines\words\Cetirizine_1_1820.png,Cetirizine
Datasets\Medicines\words\Triocim_1_639.png,Triocim
Datasets\Medicines\words\Cefuroxime_1_2147.png,Cefuroxime
Datasets\Medicines\words\Moxaclav_1_3908.png,Moxaclav
Datasets\Medicines\words\Rivotril_1_4064.png,Rivotril
Datasets\Medicines\words\Firmvit_1_3554.png,Firmvit
Datasets\Medicines\words\Demoxiclave_1_3806.png,Demoxiclave
Datasets\Medicines\words\Eylon_1_311.png,Eylon
Datasets\Medicines\words\Lindac_1_718.png,Lindac
Datasets\Medicines\words\Flexibac_1_143.png,Flexibac
Datasets\Medicines\words\HPR-DS_1_3588.png,HPR-DS
Datasets\Medicines\words\Apitac_1_182.png,Apitac
Datasets\Medicines\words\Diasulin_1_3848.png,Diasulin
Datasets\Medicines\words\Bizoran_1_3653.png,Bizoran
Datasets\Medicines\words\Neso_1_320.png,Neso
Datasets\Medicines\words\Azicin_1_342.png,Azicin
Datasets\Medicines\words\Visral_1_201.png,Visral
